Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,61,2016,14
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,1,Existing,62,2016,160
Iro,Contemporary,9,9,2004,20,20,10 to 20 Years,1,Existing,63,2016,12
J Brand,Contemporary,10,9,2004,20,20,10 to 20 Years,1,Existing,64,2016,12
J. Mendel,Luxury,12,6,1870,154,154,100 to 200 Years,1,Existing,65,2016,146
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,1,Existing,66,2016,56
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,67,2016,13
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,68,2016,34
Jenny Packham,Contemporary,9,9,1988,36,36,20 to 50 Years,1,Existing,69,2016,28
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,70,2016,18
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,71,2016,20
Joe'S Jeans,Contemporary,10,10,2001,23,23,20 to 50 Years,1,Existing,72,2016,15
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,73,2016,29
Jonathan Simkhai,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,74,2016,6
Jovani,Contemporary,8,8,1983,41,41,20 to 50 Years,1,Existing,75,2016,33
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,76,2016,18
Kenzo,Luxury,9,9,1970,54,54,50 to 100 Years,1,Existing,77,2016,46
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,78,2016,62
La Petite Robe Di Chiara Boni,Contemporary,8,2,2007,17,17,10 to 20 Years,1,Existing,79,2016,9
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,80,2016,20
Lanvin,Luxury,12,7,1889,135,135,100 to 200 Years,1,Existing,81,2016,127
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,82,2016,18
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,83,2016,11
Loewe,Premium,9,9,1996,28,28,20 to 50 Years,1,Existing,84,2016,20
Longchamp,Contemporary,11,10,1948,76,76,50 to 100 Years,1,Existing,85,2016,68
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,86,2016,92
Loveshackfancy,Contemporary,8,8,2013,11,11,10 to 20 Years,1,Existing,87,2016,3
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,88,2016,18
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,89,2016,27
Maison Margiela,Premium,8,7,2015,9,9,5 to 10 Years,1,Existing,90,2016,1
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,91,2016,46
Mara Hoffman,Contemporary,11,11,2000,24,24,20 to 50 Years,1,Existing,92,2016,16
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,93,2016,32
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,1,Existing,94,2016,11
Marchesa Notte,Contemporary,8,8,2004,20,20,10 to 20 Years,1,Existing,95,2016,12
Marni,Premium,10,10,2011,13,13,10 to 20 Years,1,Existing,96,2016,5
Mary Katrantzou,Premium,12,7,1988,36,36,20 to 50 Years,1,Existing,97,2016,28
Mcm,Contemporary,8,6,1976,48,48,20 to 50 Years,1,Existing,98,2016,40
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,99,2016,11
Michael Michael Kors,Contemporary,12,12,2004,20,20,10 to 20 Years,1,Existing,100,2016,12
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,101,2016,15
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,102,2016,63
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,103,2016,23
Ml Monique Lhuillier,Contemporary,12,11,1996,28,28,20 to 50 Years,1,Existing,104,2016,20
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,105,2016,64
Monique Lhuillier,Contemporary,12,12,1996,28,28,20 to 50 Years,1,Existing,106,2016,20
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,1,Existing,107,2016,33
Mugler,Premium,12,4,1958,66,66,50 to 100 Years,1,Existing,108,2016,58
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,109,2016,15
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,110,2016,78
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,111,2016,109
Nicholas,Contemporary,8,3,2003,21,21,20 to 50 Years,1,Existing,112,2016,13
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,113,2016,84
Norma Kamali,Contemporary,17,12,1967,57,57,50 to 100 Years,1,Existing,114,2016,49
Opening Ceremony,Contemporary,9,6,2002,22,22,20 to 50 Years,1,Existing,115,2016,14
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,116,2016,51
Paige Denim,Contemporary,11,5,2004,20,20,10 to 20 Years,1,Existing,117,2016,12
Pamella Roland,Contemporary,12,12,2002,22,22,20 to 50 Years,1,Existing,118,2016,14
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,119,2016,8
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,120,2016,91
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,121,2016,25
Prabal Gurung,Premium,8,3,1937,87,87,50 to 100 Years,1,Existing,122,2016,79
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,123,2016,103
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,124,2016,19
Rachel Gilbert,Contemporary,9,5,2007,17,17,10 to 20 Years,1,Existing,125,2016,9
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,1,Existing,126,2016,5
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,127,2016,14
Ramy Brook,Contemporary,11,11,2010,14,14,10 to 20 Years,1,Existing,128,2016,6
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,1,Existing,129,2016,11
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,130,2016,20
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,1,Existing,131,2016,13
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,132,2016,12
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,133,2016,37
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,134,2016,89
Roger Vivier,Luxury,8,8,1937,87,87,50 to 100 Years,1,Existing,135,2016,79
Roland Mouret,Premium,12,12,1981,43,43,20 to 50 Years,1,Existing,136,2016,35
Saint Laurent,Luxury,10,10,2012,12,12,10 to 20 Years,1,Existing,137,2016,4
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,138,2016,89
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,139,2016,15
Self Portrait,Contemporary,8,6,2013,11,11,10 to 20 Years,1,Existing,140,2016,3
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,141,2016,18
Sjp By Sarah Jessica Parker,Contemporary,8,8,2014,10,10,5 to 10 Years,1,Existing,142,2016,2
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,1,Existing,143,2016,12
Smythson,Contemporary,8,3,1887,137,137,100 to 200 Years,1,Existing,144,2016,129
Sophia Webster,Contemporary,10,10,2012,12,12,10 to 20 Years,1,Existing,145,2016,4
Sophie Hulme,Contemporary,10,5,2007,17,17,10 to 20 Years,1,Existing,146,2016,9
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,147,2016,54
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,148,2016,46
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,149,2016,30
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,1,Existing,150,2016,7
Tabitha Simmons,Premium,11,6,1986,38,38,20 to 50 Years,1,Existing,151,2016,30
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,1,Existing,152,2016,34
Talbot Runhof,Contemporary,10,10,1992,32,32,20 to 50 Years,1,Existing,153,2016,24
Ted Baker London,Contemporary,9,5,1988,36,36,20 to 50 Years,1,Existing,154,2016,28
Thakoon Addition,Contemporary,12,5,2012,12,12,10 to 20 Years,1,Existing,155,2016,4
The Row,Luxury,10,10,2006,18,18,10 to 20 Years,1,Existing,156,2016,10
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,157,2016,7
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,158,2016,19
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,159,2016,19
Tom Ford,Luxury,10,10,2005,19,19,10 to 20 Years,1,Existing,160,2016,11
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,161,2016,12
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,162,2016,56
Veronica Beard,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,163,2016,6
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,164,2016,38
Victoria Beckham,Luxury,8,8,2008,16,16,10 to 20 Years,1,Existing,165,2016,8
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,166,2016,14
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,167,2016,18
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,168,2016,66
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,169,2016,20
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,170,2016,18
Zac Zac Posen,Contemporary,10,7,2013,11,11,10 to 20 Years,1,Existing,171,2016,3
Zadig & Voltaire,Contemporary,8,8,1997,27,27,20 to 50 Years,1,Existing,172,2016,19
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,1,Existing,173,2016,25
Zuhair Murad,Luxury,8,7,1997,27,27,20 to 50 Years,1,Existing,174,2016,19
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2017,12
A.L.C.,Contemporary,9,9,2009,15,15,10 to 20 Years,1,Existing,2,2017,8
Acne Studios,Contemporary,9,5,1996,28,28,20 to 50 Years,1,Existing,3,2017,21
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,1,Existing,4,2017,12
Agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,1,Existing,5,2017,64
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,6,2017,15
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,7,2017,22
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,8,2017,25
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,9,2017,12
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,10,2017,9
Alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,1,Existing,11,2017,9
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,12,2017,15
Alo Yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,1,Existing,13,2017,10
Altuzarra,Premium,11,11,1994,30,30,20 to 50 Years,1,Existing,14,2017,23
Amanda Uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,1,Existing,15,2017,14
Anya Hindmarch,Contemporary,8,3,1987,37,37,20 to 50 Years,1,Existing,16,2017,30
Aquazzura,Premium,10,10,2006,18,18,10 to 20 Years,1,Existing,17,2017,11
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,18,2017,38
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,19,2017,29
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,20,2017,11
Balenciaga,Luxury,11,11,1917,107,107,100 to 200 Years,1,Existing,21,2017,100
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,1,Existing,22,2017,72
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,23,2017,15
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,24,2017,51
Brandon Maxwell,Premium,7,7,1994,30,30,20 to 50 Years,1,Existing,25,2017,23
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,26,2017,39
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,27,2017,161
Camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,1,Existing,28,2017,13
Canada Goose,Contemporary,9,9,1957,67,67,50 to 100 Years,1,Existing,29,2017,60
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,30,2017,37
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,31,2017,65
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,32,2017,26
Coach 1941,Contemporary,7,2,1941,83,83,50 to 100 Years,1,Existing,33,2017,76
Coach New York,Contemporary,7,2,1941,83,83,50 to 100 Years,1,Existing,34,2017,76
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,35,2017,9
Cushnie Et Ochs,Contemporary,9,5,2008,16,16,10 to 20 Years,1,Existing,36,2017,9
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,37,2017,39
Derek Lam 10 Crosby,Contemporary,8,8,2011,13,13,10 to 20 Years,1,Existing,38,2017,6
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,39,2017,45
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,40,2017,32
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,41,2017,33
Elie Saab,Contemporary,12,9,1982,42,42,20 to 50 Years,1,Existing,42,2017,35
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,43,2017,43
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,44,2017,10
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,45,2017,70
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,46,2017,41
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,47,2017,49
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,48,2017,95
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,49,2017,49
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,50,2017,92
Fenty Puma By Rihanna,Contemporary,7,4,2016,8,8,5 to 10 Years,1,Existing,51,2017,1
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,52,2017,14
Fuzzi,Contemporary,11,10,1954,70,70,50 to 100 Years,1,Existing,53,2017,63
Gianvito Rossi,Premium,10,10,1963,61,61,50 to 100 Years,1,Existing,54,2017,54
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,55,2017,42
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,56,2017,23
Givenchy,Luxury,9,9,1952,72,72,50 to 100 Years,1,Existing,57,2017,65
Gorski,Contemporary,7,7,1984,40,40,20 to 50 Years,1,Existing,58,2017,33
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,59,2017,96
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,1,Existing,60,2017,8
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,61,2017,31
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,62,2017,32
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,63,2017,15
Iro,Contemporary,9,9,2004,20,20,10 to 20 Years,1,Existing,64,2017,13
Isabel Marant,Premium,7,7,1984,40,40,20 to 50 Years,1,Existing,65,2017,33
J Brand,Contemporary,10,9,2004,20,20,10 to 20 Years,1,Existing,66,2017,13
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,1,Existing,67,2017,57
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,68,2017,14
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,69,2017,35
Jenny Packham,Contemporary,9,9,1988,36,36,20 to 50 Years,1,Existing,70,2017,29
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,71,2017,19
Jill Jill Stuart,Contemporary,7,4,2012,12,12,10 to 20 Years,1,Existing,72,2017,5
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,73,2017,21
Joe'S Jeans,Contemporary,10,10,2001,23,23,20 to 50 Years,1,Existing,74,2017,16
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,75,2017,30
Jonathan Simkhai,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,76,2017,7
Jovani,Contemporary,8,8,1983,41,41,20 to 50 Years,1,Existing,77,2017,34
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,78,2017,19
Kenzo,Luxury,9,9,1970,54,54,50 to 100 Years,1,Existing,79,2017,47
Kobi Halperin,Contemporary,7,7,2015,9,9,5 to 10 Years,1,Existing,80,2017,2
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,81,2017,63
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,82,2017,21
Lanvin,Luxury,12,7,1889,135,135,100 to 200 Years,1,Existing,83,2017,128
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,84,2017,19
Les Petits Joueurs,Contemporary,7,4,2013,11,11,10 to 20 Years,1,Existing,85,2017,4
Liberty London,Contemporary,7,6,1875,149,149,100 to 200 Years,1,Existing,86,2017,142
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,87,2017,12
Loewe,Premium,9,9,1996,28,28,20 to 50 Years,1,Existing,88,2017,21
Longchamp,Contemporary,11,10,1948,76,76,50 to 100 Years,1,Existing,89,2017,69
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,90,2017,93
Loveshackfancy,Contemporary,8,8,2013,11,11,10 to 20 Years,1,Existing,91,2017,4
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,92,2017,19
M.I.H Jeans,Contemporary,7,3,1969,55,55,50 to 100 Years,1,Existing,93,2017,48
Maison Margiela,Premium,8,7,2015,9,9,5 to 10 Years,1,Existing,94,2017,2
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,95,2017,47
Mara Hoffman,Contemporary,11,11,2000,24,24,20 to 50 Years,1,Existing,96,2017,17
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,97,2017,33
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,1,Existing,98,2017,12
Marchesa Notte,Contemporary,8,8,2004,20,20,10 to 20 Years,1,Existing,99,2017,13
Marni,Premium,10,10,2011,13,13,10 to 20 Years,1,Existing,100,2017,6
Mary Katrantzou,Premium,12,7,1988,36,36,20 to 50 Years,1,Existing,101,2017,29
Mcm,Contemporary,8,6,1976,48,48,20 to 50 Years,1,Existing,102,2017,41
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,103,2017,12
Michael Kors Collection,Contemporary,7,7,1981,43,43,20 to 50 Years,1,Existing,104,2017,36
Michael Michael Kors,Contemporary,12,12,2004,20,20,10 to 20 Years,1,Existing,105,2017,13
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,106,2017,16
Misa Los Angeles,Contemporary,7,7,2015,9,9,5 to 10 Years,1,Existing,107,2017,2
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,108,2017,64
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,109,2017,24
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,110,2017,65
Monique Lhuillier,Contemporary,12,12,1996,28,28,20 to 50 Years,1,Existing,111,2017,21
Monse,Contemporary,7,2,2015,9,9,5 to 10 Years,1,Existing,112,2017,2
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,1,Existing,113,2017,34
Msgm,Contemporary,7,6,2009,15,15,10 to 20 Years,1,Existing,114,2017,8
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,115,2017,9
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,116,2017,16
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,117,2017,79
Needle & Thread,Contemporary,6,3,2013,11,11,10 to 20 Years,1,Existing,118,2017,4
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,119,2017,110
Nicholas,Contemporary,8,3,2003,21,21,20 to 50 Years,1,Existing,120,2017,14
Norma Kamali,Contemporary,17,12,1967,57,57,50 to 100 Years,1,Existing,121,2017,50
Opening Ceremony,Contemporary,9,6,2002,22,22,20 to 50 Years,1,Existing,122,2017,15
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,123,2017,52
Pamella Roland,Contemporary,12,12,2002,22,22,20 to 50 Years,1,Existing,124,2017,15
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,125,2017,9
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,126,2017,92
Peserico,Contemporary,7,2,1962,62,62,50 to 100 Years,1,Existing,127,2017,55
Ph15,Contemporary,7,2,2011,13,13,10 to 20 Years,1,Existing,128,2017,6
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,129,2017,26
Prabal Gurung,Premium,8,3,1937,87,87,50 to 100 Years,1,Existing,130,2017,80
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,131,2017,104
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,132,2017,20
Rachel Gilbert,Contemporary,9,5,2007,17,17,10 to 20 Years,1,Existing,133,2017,10
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,1,Existing,134,2017,6
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,135,2017,15
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,1,Existing,136,2017,15
Ramy Brook,Contemporary,11,11,2010,14,14,10 to 20 Years,1,Existing,137,2017,7
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,1,Existing,138,2017,12
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,139,2017,21
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,140,2017,13
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,141,2017,38
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,142,2017,90
Roger Vivier,Luxury,8,8,1937,87,87,50 to 100 Years,1,Existing,143,2017,80
Roland Mouret,Premium,12,12,1981,43,43,20 to 50 Years,1,Existing,144,2017,36
Saint Laurent,Luxury,10,10,2012,12,12,10 to 20 Years,1,Existing,145,2017,5
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,146,2017,90
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,147,2017,16
Self Portrait,Contemporary,8,6,2013,11,11,10 to 20 Years,1,Existing,148,2017,4
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,149,2017,19
Sjp By Sarah Jessica Parker,Contemporary,8,8,2014,10,10,5 to 10 Years,1,Existing,150,2017,3
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,1,Existing,151,2017,13
Smythson,Contemporary,8,3,1887,137,137,100 to 200 Years,1,Existing,152,2017,130
Sofia Cashmere,Premium,12,8,1984,40,40,20 to 50 Years,1,Existing,153,2017,33
Solace London,Contemporary,6,4,2013,11,11,10 to 20 Years,1,Existing,154,2017,4
Sophia Webster,Contemporary,10,10,2012,12,12,10 to 20 Years,1,Existing,155,2017,5
Sophie Hulme,Contemporary,10,5,2007,17,17,10 to 20 Years,1,Existing,156,2017,10
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,157,2017,55
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,158,2017,47
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,159,2017,31
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,1,Existing,160,2017,8
Tabitha Simmons,Premium,11,6,1986,38,38,20 to 50 Years,1,Existing,161,2017,31
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,1,Existing,162,2017,35
Talbot Runhof,Contemporary,10,10,1992,32,32,20 to 50 Years,1,Existing,163,2017,25
Tanya Taylor,Contemporary,7,7,2012,12,12,10 to 20 Years,1,Existing,164,2017,5
The Great,Contemporary,7,7,2014,10,10,5 to 10 Years,1,Existing,165,2017,3
The Row,Luxury,10,10,2006,18,18,10 to 20 Years,1,Existing,166,2017,11
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,167,2017,8
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,168,2017,20
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,169,2017,20
Tom Ford,Luxury,10,10,2005,19,19,10 to 20 Years,1,Existing,170,2017,12
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,171,2017,13
Ugg,Contemporary,7,7,1978,46,46,20 to 50 Years,1,Existing,172,2017,39
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,173,2017,57
Veronica Beard,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,174,2017,7
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,175,2017,39
Victoria Beckham,Luxury,8,8,2008,16,16,10 to 20 Years,1,Existing,176,2017,9
Victoria Victoria Beckham,Contemporary,6,5,2008,16,16,10 to 20 Years,1,Existing,177,2017,9
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,178,2017,15
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,179,2017,19
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,180,2017,67
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,181,2017,21
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,182,2017,19
Zac Zac Posen,Contemporary,10,7,2013,11,11,10 to 20 Years,1,Existing,183,2017,4
Zadig & Voltaire,Contemporary,8,8,1997,27,27,20 to 50 Years,1,Existing,184,2017,20
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,1,Existing,185,2017,26
Zuhair Murad,Luxury,8,7,1997,27,27,20 to 50 Years,1,Existing,186,2017,20
