Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age,Relative Age Group
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,8,2018,23,5 to 10 Years
Alexa Chung,Contemporary,6,2,2016,8,8,5 to 10 Years,1,Existing,9,2018,2,5 to 10 Years
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,10,2018,26,5 to 10 Years
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,11,2018,13,5 to 10 Years
Alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,1,Existing,12,2018,10,5 to 10 Years
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,13,2018,16,5 to 10 Years
Alo Yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,1,Existing,14,2018,11,5 to 10 Years
Altuzarra,Premium,11,11,1994,30,30,20 to 50 Years,1,Existing,15,2018,24,5 to 10 Years
Amanda Uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,1,Existing,16,2018,15,5 to 10 Years
Aquazzura,Premium,10,10,2006,18,18,10 to 20 Years,1,Existing,17,2018,12,5 to 10 Years
Attico,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,18,2018,2,5 to 10 Years
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,19,2018,30,5 to 10 Years
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,20,2018,12,5 to 10 Years
Balenciaga,Luxury,11,11,1917,107,107,100 to 200 Years,1,Existing,21,2018,101,5 to 10 Years
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,1,Existing,22,2018,73,5 to 10 Years
Beyond Yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,1,Existing,23,2018,12,5 to 10 Years
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,24,2018,16,5 to 10 Years
Blanc Noir,Contemporary,6,6,2013,11,11,10 to 20 Years,1,Existing,25,2018,5,5 to 10 Years
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,1,Existing,26,2018,86,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,27,2018,52,5 to 10 Years
Boutique Moschino,Luxury,6,2,1983,41,41,20 to 50 Years,1,Existing,28,2018,35,5 to 10 Years
Brandon Maxwell,Premium,7,7,1994,30,30,20 to 50 Years,1,Existing,29,2018,24,5 to 10 Years
Brock Collection,Premium,6,5,2012,12,12,10 to 20 Years,1,Existing,30,2018,6,5 to 10 Years
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,31,2018,40,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,32,2018,162,5 to 10 Years
Calvin Klein 205W39Nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,1,Existing,33,2018,50,5 to 10 Years
Camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,1,Existing,34,2018,14,5 to 10 Years
Canada Goose,Contemporary,9,9,1957,67,67,50 to 100 Years,1,Existing,35,2018,61,5 to 10 Years
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,36,2018,38,5 to 10 Years
Caroline Constas,Contemporary,6,4,2012,12,12,10 to 20 Years,1,Existing,37,2018,6,5 to 10 Years
Chanel,Luxury,6,6,1910,114,114,100 to 200 Years,1,Existing,38,2018,108,5 to 10 Years
Chiara Boni La Petite Robe,Contemporary,6,6,2007,17,17,10 to 20 Years,1,Existing,39,2018,11,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,40,2018,66,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,41,2018,27,5 to 10 Years
Cinq à Sept,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,42,2018,2,5 to 10 Years
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,43,2018,10,5 to 10 Years
Cushnie Et Ochs,Contemporary,9,5,2008,16,16,10 to 20 Years,1,Existing,44,2018,10,5 to 10 Years
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,45,2018,40,5 to 10 Years
Derek Lam 10 Crosby,Contemporary,8,8,2011,13,13,10 to 20 Years,1,Existing,46,2018,7,5 to 10 Years
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,47,2018,46,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,48,2018,33,5 to 10 Years
Dries Van Noten,Premium,6,6,2003,21,21,20 to 50 Years,1,Existing,49,2018,15,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,50,2018,34,5 to 10 Years
Elie Saab,Contemporary,12,9,1982,42,42,20 to 50 Years,1,Existing,51,2018,36,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,52,2018,44,5 to 10 Years
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,53,2018,11,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,54,2018,71,5 to 10 Years
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,55,2018,42,5 to 10 Years
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,56,2018,50,5 to 10 Years
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,57,2018,96,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,58,2018,50,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,59,2018,93,5 to 10 Years
Fenty Puma By Rihanna,Contemporary,7,4,2016,8,8,5 to 10 Years,1,Existing,60,2018,2,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,61,2018,15,5 to 10 Years
Frame,Contemporary,9,8,2012,12,12,10 to 20 Years,1,Existing,62,2018,6,5 to 10 Years
Fuzzi,Contemporary,11,10,1954,70,70,50 to 100 Years,1,Existing,63,2018,64,5 to 10 Years
Galvan,Contemporary,6,6,2014,10,10,5 to 10 Years,1,Existing,64,2018,4,5 to 10 Years
Gianvito Rossi,Premium,10,10,1963,61,61,50 to 100 Years,1,Existing,65,2018,55,5 to 10 Years
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,66,2018,43,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,67,2018,24,5 to 10 Years
Givenchy,Luxury,9,9,1952,72,72,50 to 100 Years,1,Existing,68,2018,66,5 to 10 Years
Gorski,Contemporary,7,7,1984,40,40,20 to 50 Years,1,Existing,69,2018,34,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,70,2018,97,5 to 10 Years
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,1,Existing,71,2018,9,5 to 10 Years
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,72,2018,32,5 to 10 Years
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,73,2018,33,5 to 10 Years
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,74,2018,16,5 to 10 Years
Iro,Contemporary,9,9,2004,20,20,10 to 20 Years,1,Existing,75,2018,14,5 to 10 Years
Isabel Marant,Premium,7,7,1984,40,40,20 to 50 Years,1,Existing,76,2018,34,5 to 10 Years
J Brand,Contemporary,10,9,2004,20,20,10 to 20 Years,1,Existing,77,2018,14,5 to 10 Years
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,1,Existing,78,2018,58,5 to 10 Years
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,79,2018,15,5 to 10 Years
Jenny Packham,Contemporary,9,9,1988,36,36,20 to 50 Years,1,Existing,80,2018,30,5 to 10 Years
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,81,2018,20,5 to 10 Years
Jill Jill Stuart,Contemporary,7,4,2012,12,12,10 to 20 Years,1,Existing,82,2018,6,5 to 10 Years
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,83,2018,22,5 to 10 Years
Joe'S Jeans,Contemporary,10,10,2001,23,23,20 to 50 Years,1,Existing,84,2018,17,5 to 10 Years
Johanna Ortiz,Premium,6,6,1960,64,64,50 to 100 Years,1,Existing,85,2018,58,5 to 10 Years
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,86,2018,31,5 to 10 Years
Jonathan Simkhai,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,87,2018,8,5 to 10 Years
Jovani,Contemporary,8,8,1983,41,41,20 to 50 Years,1,Existing,88,2018,35,5 to 10 Years
Kenzo,Luxury,9,9,1970,54,54,50 to 100 Years,1,Existing,89,2018,48,5 to 10 Years
Kobi Halperin,Contemporary,7,7,2015,9,9,5 to 10 Years,1,Existing,90,2018,3,5 to 10 Years
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,91,2018,64,5 to 10 Years
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,92,2018,22,5 to 10 Years
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,93,2018,20,5 to 10 Years
Les Petits Joueurs,Contemporary,7,4,2013,11,11,10 to 20 Years,1,Existing,94,2018,5,5 to 10 Years
Liberty London,Contemporary,7,6,1875,149,149,100 to 200 Years,1,Existing,95,2018,143,5 to 10 Years
Likely,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,96,2018,2,5 to 10 Years
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,97,2018,13,5 to 10 Years
Loewe,Premium,9,9,1996,28,28,20 to 50 Years,1,Existing,98,2018,22,5 to 10 Years
Longchamp,Contemporary,11,10,1948,76,76,50 to 100 Years,1,Existing,99,2018,70,5 to 10 Years
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,100,2018,94,5 to 10 Years
Loveshackfancy,Contemporary,8,8,2013,11,11,10 to 20 Years,1,Existing,101,2018,5,5 to 10 Years
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,102,2018,20,5 to 10 Years
M.I.H Jeans,Contemporary,7,3,1969,55,55,50 to 100 Years,1,Existing,103,2018,49,5 to 10 Years
Maison Margiela,Premium,8,7,2015,9,9,5 to 10 Years,1,Existing,104,2018,3,5 to 10 Years
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,105,2018,48,5 to 10 Years
Mansur Gavriel,Contemporary,6,5,2012,12,12,10 to 20 Years,1,Existing,106,2018,6,5 to 10 Years
Mara Hoffman,Contemporary,11,11,2000,24,24,20 to 50 Years,1,Existing,107,2018,18,5 to 10 Years
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,108,2018,34,5 to 10 Years
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,1,Existing,109,2018,13,5 to 10 Years
Marchesa Notte,Contemporary,8,8,2004,20,20,10 to 20 Years,1,Existing,110,2018,14,5 to 10 Years
Marni,Premium,10,10,2011,13,13,10 to 20 Years,1,Existing,111,2018,7,5 to 10 Years
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,112,2018,13,5 to 10 Years
Michael Kors Collection,Contemporary,7,7,1981,43,43,20 to 50 Years,1,Existing,113,2018,37,5 to 10 Years
Michael Michael Kors,Contemporary,12,12,2004,20,20,10 to 20 Years,1,Existing,114,2018,14,5 to 10 Years
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,115,2018,17,5 to 10 Years
Misa Los Angeles,Contemporary,7,7,2015,9,9,5 to 10 Years,1,Existing,116,2018,3,5 to 10 Years
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,117,2018,65,5 to 10 Years
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,118,2018,25,5 to 10 Years
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,119,2018,66,5 to 10 Years
Monique Lhuillier,Contemporary,12,12,1996,28,28,20 to 50 Years,1,Existing,120,2018,22,5 to 10 Years
Msgm,Contemporary,7,6,2009,15,15,10 to 20 Years,1,Existing,121,2018,9,5 to 10 Years
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,122,2018,10,5 to 10 Years
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,123,2018,17,5 to 10 Years
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,124,2018,80,5 to 10 Years
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,125,2018,111,5 to 10 Years
Nike,Contemporary,6,4,1964,60,60,50 to 100 Years,1,Existing,126,2018,54,5 to 10 Years
No. 21,Contemporary,9,5,2010,14,14,10 to 20 Years,1,Existing,127,2018,8,5 to 10 Years
Norma Kamali,Contemporary,17,12,1967,57,57,50 to 100 Years,1,Existing,128,2018,51,5 to 10 Years
Opening Ceremony,Contemporary,9,6,2002,22,22,20 to 50 Years,1,Existing,129,2018,16,5 to 10 Years
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,130,2018,53,5 to 10 Years
Paige,Contemporary,6,6,2004,20,20,10 to 20 Years,1,Existing,131,2018,14,5 to 10 Years
Palmer//Harding,Contemporary,6,6,2012,12,12,10 to 20 Years,1,Existing,132,2018,6,5 to 10 Years
Pamella Roland,Contemporary,12,12,2002,22,22,20 to 50 Years,1,Existing,133,2018,16,5 to 10 Years
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,134,2018,10,5 to 10 Years
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,135,2018,93,5 to 10 Years
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,136,2018,27,5 to 10 Years
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,137,2018,105,5 to 10 Years
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,138,2018,21,5 to 10 Years
Rachel Gilbert,Contemporary,9,5,2007,17,17,10 to 20 Years,1,Existing,139,2018,11,5 to 10 Years
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,1,Existing,140,2018,7,5 to 10 Years
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,141,2018,16,5 to 10 Years
Ramy Brook,Contemporary,11,11,2010,14,14,10 to 20 Years,1,Existing,142,2018,8,5 to 10 Years
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,1,Existing,143,2018,13,5 to 10 Years
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,144,2018,22,5 to 10 Years
Rejina Pyo,Contemporary,6,3,2013,11,11,10 to 20 Years,1,Existing,145,2018,5,5 to 10 Years
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,146,2018,14,5 to 10 Years
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,147,2018,39,5 to 10 Years
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,148,2018,15,5 to 10 Years
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,149,2018,91,5 to 10 Years
Roger Vivier,Luxury,8,8,1937,87,87,50 to 100 Years,1,Existing,150,2018,81,5 to 10 Years
Roland Mouret,Premium,12,12,1981,43,43,20 to 50 Years,1,Existing,151,2018,37,5 to 10 Years
Rosetta Getty,Contemporary,6,6,2014,10,10,5 to 10 Years,1,Existing,152,2018,4,5 to 10 Years
Sachin & Babi,Contemporary,6,6,2009,15,15,10 to 20 Years,1,Existing,153,2018,9,5 to 10 Years
Saint Laurent,Luxury,10,10,2012,12,12,10 to 20 Years,1,Existing,154,2018,6,5 to 10 Years
Saloni,Contemporary,6,6,2011,13,13,10 to 20 Years,1,Existing,155,2018,7,5 to 10 Years
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,156,2018,91,5 to 10 Years
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,157,2018,17,5 to 10 Years
Self Portrait,Contemporary,8,6,2013,11,11,10 to 20 Years,1,Existing,158,2018,5,5 to 10 Years
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,159,2018,20,5 to 10 Years
Simone Rocha,Contemporary,6,4,2010,14,14,10 to 20 Years,1,Existing,160,2018,8,5 to 10 Years
Sjp By Sarah Jessica Parker,Contemporary,8,8,2014,10,10,5 to 10 Years,1,Existing,161,2018,4,5 to 10 Years
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,1,Existing,162,2018,14,5 to 10 Years
Sofia Cashmere,Premium,12,8,1984,40,40,20 to 50 Years,1,Existing,163,2018,34,5 to 10 Years
Sophia Webster,Contemporary,10,10,2012,12,12,10 to 20 Years,1,Existing,164,2018,6,5 to 10 Years
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,165,2018,56,5 to 10 Years
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,166,2018,48,5 to 10 Years
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,167,2018,32,5 to 10 Years
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,1,Existing,168,2018,9,5 to 10 Years
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,1,Existing,169,2018,36,5 to 10 Years
Talbot Runhof,Contemporary,10,10,1992,32,32,20 to 50 Years,1,Existing,170,2018,26,5 to 10 Years
Tanya Taylor,Contemporary,7,7,2012,12,12,10 to 20 Years,1,Existing,171,2018,6,5 to 10 Years
The Great,Contemporary,7,7,2014,10,10,5 to 10 Years,1,Existing,172,2018,4,5 to 10 Years
The North Face,Contemporary,6,6,1966,58,58,50 to 100 Years,1,Existing,173,2018,52,5 to 10 Years
The Row,Luxury,10,10,2006,18,18,10 to 20 Years,1,Existing,174,2018,12,5 to 10 Years
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,175,2018,9,5 to 10 Years
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,176,2018,21,5 to 10 Years
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,177,2018,21,5 to 10 Years
Tom Ford,Luxury,10,10,2005,19,19,10 to 20 Years,1,Existing,178,2018,13,5 to 10 Years
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,179,2018,14,5 to 10 Years
Ugg,Contemporary,7,7,1978,46,46,20 to 50 Years,1,Existing,180,2018,40,5 to 10 Years
Under Armour,Contemporary,6,4,1996,28,28,20 to 50 Years,1,Existing,181,2018,22,5 to 10 Years
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,182,2018,58,5 to 10 Years
Valentino Garavani,Luxury,6,6,1960,64,64,50 to 100 Years,1,Existing,183,2018,58,5 to 10 Years
Veronica Beard,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,184,2018,8,5 to 10 Years
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,185,2018,40,5 to 10 Years
Victoria Beckham,Luxury,8,8,2008,16,16,10 to 20 Years,1,Existing,186,2018,10,5 to 10 Years
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,187,2018,16,5 to 10 Years
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,188,2018,20,5 to 10 Years
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,189,2018,68,5 to 10 Years
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,190,2018,22,5 to 10 Years
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,191,2018,20,5 to 10 Years
Zac Zac Posen,Contemporary,10,7,2013,11,11,10 to 20 Years,1,Existing,192,2018,5,5 to 10 Years
Zadig & Voltaire,Contemporary,8,8,1997,27,27,20 to 50 Years,1,Existing,193,2018,21,5 to 10 Years
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,1,Existing,194,2018,27,5 to 10 Years
Zuhair Murad,Luxury,8,7,1997,27,27,20 to 50 Years,1,Existing,195,2018,21,5 to 10 Years
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2019,14,5 to 10 Years
A.L.C.,Contemporary,9,9,2009,15,15,10 to 20 Years,1,Existing,2,2019,10,5 to 10 Years
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,1,Existing,3,2019,14,5 to 10 Years
Agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,1,Existing,4,2019,66,5 to 10 Years
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,5,2019,17,5 to 10 Years
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,6,2019,24,5 to 10 Years
Alanui,Contemporary,5,2,2016,8,8,5 to 10 Years,1,Existing,7,2019,3,5 to 10 Years
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,8,2019,27,5 to 10 Years
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,9,2019,14,5 to 10 Years
Alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,1,Existing,10,2019,11,5 to 10 Years
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,11,2019,17,5 to 10 Years
Alo Yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,1,Existing,12,2019,12,5 to 10 Years
Altuzarra,Premium,11,11,1994,30,30,20 to 50 Years,1,Existing,13,2019,25,5 to 10 Years
Amanda Uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,1,Existing,14,2019,16,5 to 10 Years
Aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,1,Existing,15,2019,25,5 to 10 Years
Aquazzura,Premium,10,10,2006,18,18,10 to 20 Years,1,Existing,16,2019,13,5 to 10 Years
Attico,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,17,2019,3,5 to 10 Years
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,18,2019,31,5 to 10 Years
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,19,2019,13,5 to 10 Years
Balenciaga,Luxury,11,11,1917,107,107,100 to 200 Years,1,Existing,20,2019,102,5 to 10 Years
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,1,Existing,21,2019,74,5 to 10 Years
Barbour,Contemporary,5,3,1894,130,130,100 to 200 Years,1,Existing,22,2019,125,5 to 10 Years
Beyond Yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,1,Existing,23,2019,13,5 to 10 Years
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,24,2019,17,5 to 10 Years
Blanc Noir,Contemporary,6,6,2013,11,11,10 to 20 Years,1,Existing,25,2019,6,5 to 10 Years
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,1,Existing,26,2019,87,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,27,2019,53,5 to 10 Years
Brandon Maxwell,Premium,7,7,1994,30,30,20 to 50 Years,1,Existing,28,2019,25,5 to 10 Years
Brock Collection,Premium,6,5,2012,12,12,10 to 20 Years,1,Existing,29,2019,7,5 to 10 Years
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,30,2019,41,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,31,2019,163,5 to 10 Years
Calvin Klein 205W39Nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,1,Existing,32,2019,51,5 to 10 Years
Camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,1,Existing,33,2019,15,5 to 10 Years
Canada Goose,Contemporary,9,9,1957,67,67,50 to 100 Years,1,Existing,34,2019,62,5 to 10 Years
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,35,2019,39,5 to 10 Years
Caroline Constas,Contemporary,6,4,2012,12,12,10 to 20 Years,1,Existing,36,2019,7,5 to 10 Years
Chanel,Luxury,6,6,1910,114,114,100 to 200 Years,1,Existing,37,2019,109,5 to 10 Years
Chiara Boni La Petite Robe,Contemporary,6,6,2007,17,17,10 to 20 Years,1,Existing,38,2019,12,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,39,2019,67,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,40,2019,28,5 to 10 Years
Cinq à Sept,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,41,2019,3,5 to 10 Years
Coach,Contemporary,5,4,1941,83,83,50 to 100 Years,1,Existing,42,2019,78,5 to 10 Years
Cupcakes And Cashmere,Contemporary,5,2,2012,12,12,10 to 20 Years,1,Existing,43,2019,7,5 to 10 Years
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,44,2019,11,5 to 10 Years
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,45,2019,41,5 to 10 Years
Derek Lam 10 Crosby,Contemporary,8,8,2011,13,13,10 to 20 Years,1,Existing,46,2019,8,5 to 10 Years
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,47,2019,47,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,48,2019,34,5 to 10 Years
Dries Van Noten,Premium,6,6,2003,21,21,20 to 50 Years,1,Existing,49,2019,16,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,50,2019,35,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,51,2019,45,5 to 10 Years
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,52,2019,12,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,53,2019,72,5 to 10 Years
Emporio Armani,Contemporary,5,5,1975,49,49,20 to 50 Years,1,Existing,54,2019,44,5 to 10 Years
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,55,2019,43,5 to 10 Years
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,56,2019,51,5 to 10 Years
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,57,2019,97,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,58,2019,51,5 to 10 Years
Fame And Partners,Contemporary,5,2,2013,11,11,10 to 20 Years,1,Existing,59,2019,6,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,60,2019,94,5 to 10 Years
Fenty Puma By Rihanna,Contemporary,7,4,2016,8,8,5 to 10 Years,1,Existing,61,2019,3,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,62,2019,16,5 to 10 Years
Frame,Contemporary,9,8,2012,12,12,10 to 20 Years,1,Existing,63,2019,7,5 to 10 Years
